title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Redbelt,99,"Drama,Sport",6.7,21478,David Mamet,David Mamet,"May 2, 2008",7000000,2344847,2667084,2008,5,2
Knight and Day,109,"Action,Adventure,Comedy",6.3,209540,James Mangold,Patrick O'Neill,"Jun 23, 2010",117000000,76423035,258751370,2010,6,23
Milk,128,"Biography,Drama,History",7.5,179350,Gus Van Sant,Dustin Lance Black,"Nov 26, 2008",20000000,31841299,57293371,2008,11,26
Eden Lake,91,"Horror,Thriller",6.7,93980,James Watkins,James Watkins,"Oct 31, 2008",2000000,7321,4294373,2008,10,31
Centurion,97,"Action,Drama,History",6.3,86075,Neil Marshall,Neil Marshall,"Aug 27, 2010",15000000,123570,7885048,2010,8,27
Never Back Down,113,"Action,Drama,Sport",6.5,105938,Jeff Wadlow,Chris Hauty,"Mar 14, 2008",21000000,24850922,39319801,2008,3,14
Amsterdam,134,"Comedy,Drama,History",6.1,91741,David O. Russell,David O. Russell,"Oct 6, 2022",80000000,14947969,29400826,2022,10,6
The Forever Purge,103,"Action,Crime,Horror",5.4,42925,Everardo Gout,James DeMonaco,"Jul 1, 2021",18000000,44539245,76950525,2021,7,1
RocknRolla,114,"Action,Crime,Thriller",7.2,263763,Guy Ritchie,Guy Ritchie,"Oct 8, 2008",18000000,5700626,27794339,2008,10,8
"I Love You, Beth Cooper",102,"Adventure,Comedy,Family",5.3,37331,Chris Columbus,Larry Doyle,"Jul 10, 2009",18000000,14800725,16382538,2009,7,10
Armageddon Time,114,Drama,6.5,15057,James Gray,James Gray,"Sep 14, 2022",15000000,1872625,6568234,2022,9,14
Righteous Kill,101,"Crime,Mystery,Thriller",6.0,91883,Jon Avnet,Russell Gewirtz,"Sep 12, 2008",60000000,40081410,78481410,2008,9,12
The Bounty Hunter,110,"Action,Comedy,Romance",5.5,133914,Andy Tennant,Sarah Thorp,"Mar 19, 2010",45000000,67061228,135808837,2010,3,19
Terrifier 2,138,Horror,6.1,45638,Damien Leone,Damien Leone,"Oct 6, 2022",250000,10962502,15702292,2022,10,6
The Proposal,108,"Comedy,Drama,Romance",6.7,356787,Anne Fletcher,Peter Chiarelli,"Jun 19, 2009",40000000,163958031,314709717,2009,6,19
Cadillac Records,109,"Biography,Drama,Music",7.0,22999,Darnell Martin,Darnell Martin,"Dec 5, 2008",12000000,8195551,8942516,2008,12,5
My Best Friend's Girl,101,"Comedy,Romance",5.8,46226,Howard Deutch,Jordan Cahan,"Sep 19, 2008",20000000,19219250,34787111,2008,9,19
Miracle at St. Anna,160,"Action,Drama,War",6.1,19139,Spike Lee,James McBride,"Sep 26, 2008",45000000,7916887,9676497,2008,9,26
Meet the Browns,100,"Comedy,Drama,Romance",4.5,7263,Tyler Perry,Tyler Perry,"Mar 21, 2008",20000000,41975388,41975388,2008,3,21
Roadside Romeo,93,"Adventure,Animation,Comedy",4.8,1671,Jugal Hansraj,Jugal Hansraj,"Oct 24, 2008",2000000,55202,2046090,2008,10,24
Cloverfield,85,"Horror,Sci-Fi,Thriller",7.0,418501,Matt Reeves,Drew Goddard,"Jan 18, 2008",25000000,80048433,171302226,2008,1,18
Minari,115,Drama,7.4,95495,Lee Isaac Chung,Lee Isaac Chung,"Dec 11, 2020",2000000,2964816,15474659,2020,12,11
Babylon,189,"Comedy,Drama,History",7.1,163635,Damien Chazelle,Damien Chazelle,"Dec 23, 2022",110000000,16596054,64474137,2022,12,23
Babylon,151,"Action,Drama",7.5,14,Dana Kjeldsen,Dana Kjeldsen,"Dec 23, 2022",110000000,16596054,64474137,2022,12,23
Boyhood,165,Drama,7.9,366049,Richard Linklater,Richard Linklater,"Jun 5, 2014",4000000,25379975,57273049,2014,6,5
The Killing of Two Lovers,85,Drama,6.8,5235,Robert Machoian,Robert Machoian,"Sep 8, 2020",32000,72110,105195,2020,9,8
The Trial of the Chicago 7,129,"Drama,History,Thriller",7.7,191994,Aaron Sorkin,Aaron Sorkin,"Oct 2, 2020",35000000,0,116473,2020,10,2
Ink,107,"Action,Drama,Fantasy",6.8,22330,Jamin Winans,Jamin Winans,"Nov 10, 2009",250000,0,0,2009,11,10
The Wackness,99,"Comedy,Drama,Romance",6.9,31218,Jonathan Levine,Jonathan Levine,"Jul 3, 2008",6000000,2077046,3330012,2008,7,3
Rachel Getting Married,113,"Drama,Romance",6.7,51019,Jonathan Demme,Jenny Lumet,"Oct 3, 2008",12000000,12796861,17475475,2008,10,3
No Man's Land: The Rise of Reeker,88,"Horror,Thriller",4.8,3550,Dave Payne,Dave Payne,"Oct 14, 2008",2000000,0,0,2008,10,14
Adventureland,107,"Comedy,Drama,Romance",6.8,168025,Greg Mottola,Greg Mottola,"Apr 3, 2009",9800000,16044025,17553055,2009,4,3
The Longshots,94,"Biography,Comedy,Drama",5.6,4432,Fred Durst,Nick Santora,"Aug 22, 2008",23000000,11511323,11778396,2008,8,22
Passchendaele,114,"Drama,History,Romance",6.4,8769,Paul Gross,Paul Gross,"Oct 24, 2008",20000000,4452423,4453327,2008,10,24
A Mouthful of Air,105,Drama,6.1,2721,Amy Koppelman,Amy Koppelman,"Oct 29, 2021",2300000,269435,269435,2021,10,29
Bad Lieutenant: Port of Call New Orleans,122,"Crime,Drama,Mystery",6.6,80623,Werner Herzog,William M. Finkelstein,"Nov 20, 2009",25000000,1702112,12413949,2009,11,20
Nope,130,"Horror,Mystery,Sci-Fi",6.8,260583,Jordan Peele,Jordan Peele,"Jul 21, 2022",68000000,123277080,172039087,2022,7,21
Next Day Air,84,"Action,Comedy,Crime",5.7,11101,Benny Boom,Blair Cobbs,"May 8, 2009",3000000,10027047,10172519,2009,5,8
The Missing Person,95,"Drama,Mystery,Thriller",6.0,1698,Noah Buschel,Noah Buschel,"Nov 20, 2009",2000000,17896,17896,2009,11,20
Ca$h,108,"Crime,Thriller",5.9,10020,Stephen Milburn Anderson,Stephen Milburn Anderson,"Mar 26, 2010",7000000,46488,46488,2010,3,26
The Wrestler,109,"Drama,Sport",7.9,318779,Darren Aronofsky,Robert Siegel,"Dec 17, 2008",6000000,26238243,46634275,2008,12,17
Love Ranch,117,"Biography,Comedy,Drama",5.6,3358,Taylor Hackford,Mark Jacobson,"Jun 30, 2010",25000000,137885,146149,2010,6,30
Burlesque,119,"Drama,Music,Musical",6.4,92663,Steve Antin,Steve Antin,"Nov 24, 2010",55000000,39440655,90552675,2010,11,24
Burlesque,90,Drama,6.9,74,Dominic Deacon,Dominic Deacon,"Nov 24, 2010",55000000,39440655,90552675,2010,11,24
Morning Glory,107,"Comedy,Drama,Romance",6.5,82288,Roger Michell,Aline Brosh McKenna,"Nov 10, 2010",40000000,31011732,59795070,2010,11,10
Licorice Pizza,133,"Comedy,Drama,Romance",7.1,139032,Paul Thomas Anderson,Paul Thomas Anderson,"Nov 26, 2021",40000000,17318007,32903549,2021,11,26
Circle,88,"Horror,Thriller",3.3,750,Michael W. Watkins,Brad Tiemann,"Aug 27, 2010",2000000,10024,10024,2010,8,27
Beast,155,"Action,Comedy,Crime",5.2,36224,Nelson Dilipkumar,Nelson Dilipkumar,"Aug 10, 2022",36000000,31846530,59168339,2022,8,10
The Boat That Rocked,135,"Comedy,Drama,Music",7.3,115738,Richard Curtis,Richard Curtis,"Nov 13, 2009",50000000,8017467,37472651,2009,11,13
Jennifer's Body,102,"Comedy,Horror",5.5,149822,Karyn Kusama,Diablo Cody,"Sep 18, 2009",16000000,16204793,31943401,2009,9,18
Duplicity,125,"Comedy,Crime,Romance",6.1,52148,Tony Gilroy,Tony Gilroy,"Mar 20, 2009",60000000,40572825,81079566,2009,3,20
The Unborn,88,"Horror,Mystery,Thriller",4.7,53197,David S. Goyer,David S. Goyer,"Jan 9, 2009",16000000,42670410,78208812,2009,1,9
Post Grad,88,"Comedy,Family,Romance",5.3,15015,Vicky Jenson,Kelly Fremon Craig,"Aug 21, 2009",15000000,6382178,6563402,2009,8,21
The Devil's Tomb,90,"Action,Horror,Thriller",3.7,7080,Jason Connery,Keith Kjornes,"May 26, 2009",10000000,0,0,2009,5,26
Man on Wire,94,"Biography,Crime,Documentary",7.7,58466,James Marsh,Philippe Petit,"Jul 25, 2008",1900000,2962242,5617067,2008,7,25
12 Rounds,108,"Action,Crime,Thriller",5.6,30399,Renny Harlin,Daniel Kunka,"Mar 27, 2009",20000000,12234694,17306648,2009,3,27
Midnight in the Switchgrass,99,"Action,Crime,Mystery",4.5,10004,Randall Emmett,Alan Horsnail,"Jul 23, 2021",15000000,0,97518,2021,7,23
Baggage Claim,96,"Comedy,Romance",5.1,9682,David E. Talbert,David E. Talbert,"Sep 27, 2013",8500000,21569509,22885836,2013,9,27
Whip It,111,"Drama,Sport",6.9,69991,Drew Barrymore,Shauna Cross,"Oct 2, 2009",15000000,13077184,18889972,2009,10,2
The House of the Devil,95,"Horror,Mystery",6.3,50913,Ti West,Ti West,"Oct 30, 2009",900000,101215,102812,2009,10,30
W.,129,"Biography,Comedy,Drama",6.3,49900,Oliver Stone,Stanley Weiser,"Oct 17, 2008",25100000,25534493,28575778,2008,10,17
Whatever Works,93,"Comedy,Romance",7.1,76657,Woody Allen,Woody Allen,"Jun 19, 2009",15000000,5306706,35106706,2009,6,19
The Banshees of Inisherin,114,"Comedy,Drama",7.7,248265,Martin McDonagh,Martin McDonagh,"Oct 21, 2022",20000000,10582266,52344724,2022,10,21
You Will Meet a Tall Dark Stranger,98,"Comedy,Drama,Romance",6.3,47418,Woody Allen,Woody Allen,"Sep 22, 2010",15000000,3247816,38535748,2010,9,22
Welcome to the Rileys,110,Drama,6.9,25212,Jake Scott,Ken Hixon,"Oct 29, 2010",10000000,152857,355919,2010,10,29
Waltz with Bashir,90,"Animation,Biography,Documentary",8.0,60200,Ari Folman,Ari Folman,"Dec 25, 2008",2000000,2283849,13912289,2008,12,25
Adam,99,"Comedy,Drama,Romance",7.1,35686,Max Mayer,Max Mayer,"Jul 29, 2009",3200000,2283291,2834485,2009,7,29
Adam,\N,Fantasy,7.5,16,Joseph Minasi,Joseph Minasi,"Jul 29, 2009",3200000,2283291,2834485,2009,7,29
Casino Jack,108,"Biography,Comedy,Crime",6.2,17668,George Hickenlooper,Norman Snider,"Dec 17, 2010",12500000,2039869,2272186,2010,12,17
Law Abiding Citizen,109,"Action,Crime,Drama",7.4,317042,F. Gary Gray,Kurt Wimmer,"Oct 16, 2009",53000000,73357727,131159781,2009,10,16
Observe and Report,86,"Action,Comedy,Crime",5.8,64980,Jody Hill,Jody Hill,"Apr 10, 2009",18000000,24007324,27148898,2009,4,10
Obsessed,108,"Drama,Romance,Thriller",5.0,34164,Steve Shill,David Loughery,"Apr 24, 2009",20000000,68261644,73964713,2009,4,24
Funny People,146,"Comedy,Drama",6.3,123358,Judd Apatow,Judd Apatow,"Jul 31, 2009",72500000,51855045,71880305,2009,7,31
Last Vegas,105,Comedy,6.6,136574,Jon Turteltaub,Dan Fogelman,"Jan 28, 2013",28000000,63914167,112914167,2013,1,28
Middle of Nowhere,101,Drama,6.6,1973,Ava DuVernay,Ava DuVernay,"Oct 12, 2012",200000,236806,236806,2012,10,12
Hereafter,129,"Drama,Fantasy,Romance",6.5,95263,Clint Eastwood,Peter Morgan,"Oct 15, 2010",50000000,32746941,108660270,2010,10,15
The Back-up Plan,104,"Comedy,Romance",5.3,51879,Alan Poul,Kate Angelo,"Apr 23, 2010",35000000,37490007,75281179,2010,4,23
Grace,85,"Drama,Horror,Thriller",5.2,8210,Paul Solet,Paul Solet,"Aug 14, 2009",5000000,8297,8297,2009,8,14
Motherhood,90,"Comedy,Drama",4.6,4749,Katherine Dieckmann,Katherine Dieckmann,"Oct 23, 2009",10000000,93388,723388,2009,10,23
Resident Evil: Afterlife,96,"Action,Horror,Sci-Fi",5.8,178441,Paul W.S. Anderson,Paul W.S. Anderson,"Sep 10, 2010",57500000,60128566,295874190,2010,9,10
Extract,92,"Comedy,Crime,Romance",6.1,50190,Mike Judge,Mike Judge,"Sep 4, 2009",7500000,10823158,10849158,2009,9,4
Capitalism: A Love Story,127,"Crime,Documentary,History",7.4,43810,Michael Moore,Michael Moore,"Sep 23, 2009",20000000,14363397,19121531,2009,9,23
The Future,91,"Drama,Fantasy,Romance",6.1,9090,Miranda July,Miranda July,"Jul 29, 2011",1000000,568662,1239174,2011,7,29
Broken City,109,"Action,Crime,Drama",6.1,83174,Allen Hughes,Brian Tucker,"Jan 18, 2013",35000000,19701164,37114977,2013,1,18
Wind Walkers,93,"Action,Horror,Thriller",3.5,322,Russell Friedenberg,Russell Friedenberg,"Oct 16, 2015",2000000,0,0,2015,10,16
Aloha,105,"Comedy,Drama,Romance",5.4,70692,Cameron Crowe,Cameron Crowe,"May 27, 2015",37000000,21052030,25387091,2015,5,27
Conviction,107,"Biography,Crime,Drama",7.2,45744,Tony Goldwyn,Pamela Gray,"Oct 15, 2010",12500000,6797696,11826980,2010,10,15
Emancipation,132,"Action,Thriller",6.2,26637,Antoine Fuqua,Bill Collage,"Dec 2, 2022",120000000,0,0,2022,12,2
Icarus,88,"Action,Thriller",5.1,4348,Dolph Lundgren,Raul Inglis,"Feb 9, 2010",6000000,0,0,2010,2,9
Scream 4,111,"Comedy,Horror,Mystery",6.2,170107,Wes Craven,Kevin Williamson,"Apr 15, 2011",40000000,38180928,95989590,2011,4,15
World's Greatest Dad,99,"Comedy,Drama",6.9,40636,Bobcat Goldthwait,Bobcat Goldthwait,"Aug 21, 2009",10000000,221805,295750,2009,8,21
The Roommate,94,"Drama,Horror,Thriller",4.8,41177,Christian E. Christiansen,Sonny Mallhi,"Feb 4, 2011",16000000,37300107,52545707,2011,2,4
Malcolm & Marie,106,"Drama,Romance",6.6,40684,Sam Levinson,Sam Levinson,"Feb 5, 2021",2500000,0,0,2021,2,5
Dying of the Light,94,"Action,Drama,Thriller",4.5,11448,Paul Schrader,Paul Schrader,"Dec 5, 2014",5000000,0,74639,2014,12,5
Looper,119,"Action,Drama,Sci-Fi",7.4,600436,Rian Johnson,Rian Johnson,"Sep 27, 2012",30000000,66486205,170466405,2012,9,27
Date Night,88,"Comedy,Crime,Romance",6.3,171482,Shawn Levy,Josh Klausner,"Apr 9, 2010",55000000,98711404,152269033,2010,4,9
Easy A,92,"Comedy,Drama,Romance",7.0,414951,Will Gluck,Bert V. Royal,"Sep 17, 2010",8000000,58401464,76200721,2010,9,17
Standing Ovation,105,Musical,3.0,848,Stewart Raffill,Stewart Raffill,"Jul 16, 2010",5600000,531806,531806,2010,7,16
50/50,100,"Comedy,Drama,Romance",7.6,342142,Jonathan Levine,Will Reiser,"Sep 30, 2011",8000000,35016118,41334735,2011,9,30
Seeking a Friend for the End of the World,101,"Adventure,Comedy,Drama",6.7,118456,Lorene Scafaria,Lorene Scafaria,"Jun 22, 2012",10000000,7078738,11766959,2012,6,22
Animal Kingdom,113,"Crime,Drama,Thriller",7.2,60231,David Michôd,David Michôd,"Aug 13, 2010",4200000,1044039,8078683,2010,8,13
Did You Hear About the Morgans?,103,"Comedy,Drama,Romance",4.9,42671,Marc Lawrence,Marc Lawrence,"Dec 18, 2009",58000000,29580087,80480566,2009,12,18
There Be Dragons,122,"Biography,Drama,War",5.7,5081,Roland Joffé,Roland Joffé,"May 6, 2011",36000000,1069334,4020990,2011,5,6
Death at a Funeral,92,"Comedy,Drama",5.7,53431,Neil LaBute,Dean Craig,"Apr 16, 2010",21000000,42739347,48977233,2010,4,16
The Beaver,91,Drama,6.6,50609,Jodie Foster,Kyle Killen,"May 6, 2011",21000000,970816,5046038,2011,5,6
August: Osage County,121,"Comedy,Drama",7.2,95003,John Wells,Tracy Letts,"Dec 25, 2013",25000000,37738810,50738810,2013,12,25
Going the Distance,103,"Comedy,Romance",6.3,59889,Nanette Burstein,Geoff LaTulippe,"Sep 3, 2010",32000000,17804299,43603990,2010,9,3
Past Lives,105,"Drama,Romance",7.9,94934,Celine Song,Celine Song,"Jun 2, 2023",12000000,10950663,25581075,2023,6,2
Cyrus,87,"Crime,Horror,Mystery",4.6,1105,Mark Vadik,Mark Vadik,"Jun 18, 2010",7000000,7468936,10062896,2010,6,18
Napoleon,158,"Action,Adventure,Biography",6.4,116518,Ridley Scott,David Scarpa,"Nov 22, 2023",200000000,61524375,218082631,2023,11,22
The Inspection,95,Drama,6.7,4765,Elegance Bratton,Elegance Bratton,"Nov 18, 2022",3000000,385627,430608,2022,11,18
Passengers,116,"Drama,Romance,Sci-Fi",7.0,442854,Morten Tyldum,Jon Spaihts,"Dec 21, 2016",110000000,100014699,302239672,2016,12,21
X,105,"Horror,Mystery,Thriller",6.5,167785,Ti West,Ti West,"Mar 17, 2022",1000000,11769469,15113105,2022,3,17
Rust,95,Drama,5.6,513,Corbin Bernsen,Corbin Bernsen,"Oct 5, 2010",250000,0,0,2010,10,5
Made in Dagenham,113,"Comedy,Drama,History",7.1,16015,Nigel Cole,William Ivory,"Nov 19, 2010",8000000,1095369,15644196,2010,11,19
Inception,148,"Action,Adventure,Sci-Fi",8.8,2528138,Christopher Nolan,Christopher Nolan,"Jul 16, 2010",160000000,292576195,825793570,2010,7,16
Gunless,89,"Action,Comedy,Drama",6.4,3941,William Phillips,William Phillips,"Apr 30, 2010",9900000,458054,458054,2010,4,30
Love and Monsters,86,Comedy,4.7,113,Ekaterina Krasner,Igor Tkachenko,"Oct 16, 2020",30000000,1070714,1131683,2020,10,16
The Whale,117,Drama,7.7,205429,Darren Aronofsky,Samuel D. Hunter,"Dec 21, 2022",3000000,17453440,54044481,2022,12,21
The Reckoning,88,"Drama,Mystery,Thriller",6.8,1416,Stephan Rick,Thorsten Wettcke,"Feb 5, 2021",3500000,143532,465177,2021,2,5
When the Bough Breaks,107,"Drama,Thriller",5.2,7777,Jon Cassar,Jack Olsen,"Sep 8, 2016",10000000,29747603,30768449,2016,9,8
The Lost Medallion: The Adventures of Billy Stone,97,"Adventure,Family,Fantasy",4.9,1886,Bill Muir,Bill Muir,"Mar 1, 2013",2500000,549632,549632,2013,3,1
Why Did I Get Married Too?,121,"Comedy,Drama,Romance",4.7,10210,Tyler Perry,Tyler Perry,"Apr 2, 2010",20000000,60095852,60831067,2010,4,2
Prisoners,153,"Crime,Drama,Mystery",8.1,799586,Denis Villeneuve,Aaron Guzikowski,"Sep 19, 2013",46000000,61002302,113310547,2013,9,19
Transformers: Dark of the Moon,154,"Action,Adventure,Sci-Fi",6.2,430145,Michael Bay,Ehren Kruger,"Jun 29, 2011",195000000,352390543,1123794079,2011,6,29
Wolves,91,"Action,Fantasy,Horror",5.3,10399,David Hayter,David Hayter,"Nov 14, 2014",18000000,0,94953,2014,11,14
Remember Me,113,"Drama,Romance",7.1,155219,Allen Coulter,Will Fetters,"Mar 12, 2010",16000000,19068240,56506120,2010,3,12
Donkeyhead,106,Drama,6.2,327,Agam Darshi,Agam Darshi,"Jan 21, 2022",2000000,0,0,2022,1,21
Just Wright,101,"Comedy,Romance,Sport",5.9,15568,Sanaa Hamri,Michael Elliot,"May 14, 2010",12000000,21540363,21867665,2010,5,14
Frat Party,90,Comedy,2.8,1919,Robert Bennett,Robert Bennett,"Dec 1, 2009",1000000,0,0,2009,12,1
You Again,105,"Comedy,Romance",5.7,54273,Andy Fickman,Moe Jelline,"Sep 24, 2010",20000000,25702053,32838945,2010,9,24
Somewhere,97,"Comedy,Drama,Romance",6.3,46573,Sofia Coppola,Sofia Coppola,"Dec 16, 2010",7000000,1785645,17023121,2010,12,16
Stone,105,"Action,Drama,Mystery",5.4,42768,John Curran,Angus MacLachlan,"Oct 8, 2010",22000000,1810078,4065020,2010,10,8
Another Year,129,"Comedy,Drama",7.4,30785,Mike Leigh,Mike Leigh,"Nov 5, 2010",8000000,3205706,20005613,2010,11,5
The Apparition,83,"Horror,Thriller",4.1,20577,Todd Lincoln,Todd Lincoln,"Aug 23, 2012",17000000,4936819,10637281,2012,8,23
Rocket Singh: Salesman of the Year,150,"Comedy,Drama",7.5,21863,Shimit Amin,Jaideep Sahni,"Dec 11, 2009",1070000,164649,5348767,2009,12,11
Martha Marcy May Marlene,102,"Drama,Mystery,Thriller",6.8,55624,Sean Durkin,Sean Durkin,"Oct 21, 2011",1000000,2981038,5438911,2011,10,21
Quartet,98,"Comedy,Drama,Music",6.8,21132,Dustin Hoffman,Ronald Harwood,"Dec 26, 2012",11000000,18388357,56178935,2012,12,26
Father Stu,124,"Biography,Drama",6.5,29384,Rosalind Ross,Rosalind Ross,"Apr 13, 2022",4000000,21096678,21799053,2022,4,13
National Champions,116,"Drama,Sport",5.7,1943,Ric Roman Waugh,Adam Mervis,"Dec 10, 2021",9000000,475488,475488,2021,12,10
Kidnap,95,"Action,Crime,Thriller",5.9,38941,Luis Prieto,Knate Lee,"Aug 4, 2017",21000000,30718107,34836080,2017,8,4
Henry & Me,67,"Animation,Family",6.0,216,Barrett Esposito,David I. Stern,"Aug 18, 2014",5000000,0,0,2014,8,18
Dream House,92,"Drama,Mystery,Thriller",6.0,68974,Jim Sheridan,David Loucka,"Sep 30, 2011",50000000,21302340,41642166,2011,9,30
Buried,95,"Drama,Mystery,Thriller",7.0,167890,Rodrigo Cortés,Chris Sparling,"Sep 24, 2010",1987650,1044143,21270290,2010,9,24
Monsters,94,"Adventure,Drama,Romance",6.3,97227,Gareth Edwards,Gareth Edwards,"Oct 29, 2010",500000,237301,5639730,2010,10,29
Max Steel,92,"Action,Adventure,Fantasy",4.6,20502,Stewart Hendler,Christopher L. Yost,"Oct 14, 2016",10000000,3818664,4563080,2016,10,14
Cedar Rapids,87,Comedy,6.3,39470,Miguel Arteta,Phil Johnston,"Feb 11, 2011",10000000,6861102,7862131,2011,2,11
Attack the Block,88,"Action,Adventure,Comedy",6.7,111129,Joe Cornish,Joe Cornish,"Jul 29, 2011",13000000,1024175,6459183,2011,7,29
Red Riding Hood,100,"Fantasy,Horror,Mystery",5.4,115492,Catherine Hardwicke,David Leslie Johnson-McGoldrick,"Mar 11, 2011",42000000,37662162,91678442,2011,3,11
Foreign Letters,99,"Comedy,Drama",6.9,273,Ela Thier,Ela Thier,"Mar 31, 2012",40000,0,0,2012,3,31
Restless,91,"Drama,Romance",6.7,18366,Gus Van Sant,Jason Lew,"Sep 16, 2011",8000000,163753,2772511,2011,9,16
Argylle,139,"Action,Thriller",6.0,28182,Matthew Vaughn,Jason Fuchs,"Jan 31, 2024",200000000,44061940,92197940,2024,1,31
Le Havre,93,"Comedy,Drama",7.2,23370,Aki Kaurismäki,Aki Kaurismäki,"Oct 21, 2011",5500000,611709,13480196,2011,10,21
Strays,93,"Adventure,Comedy",6.3,26981,Josh Greenbaum,Dan Perrault,"Aug 4, 2023",46000000,23988885,35959554,2023,8,4
Anonymous,130,"Drama,Thriller",6.8,42025,Roland Emmerich,John Orloff,"Oct 28, 2011",27500000,4463292,15815509,2011,10,28
Grabbers,94,"Action,Adventure,Comedy",6.3,19386,Jon Wright,Kevin Lehane,"Aug 10, 2012",5300000,0,440821,2012,8,10
Melancholia,135,"Drama,Sci-Fi",7.1,194636,Lars von Trier,Lars von Trier,"Nov 11, 2011",9400000,3030848,21817298,2011,11,11
Paa,133,"Comedy,Drama",7.1,12560,R. Balki,R. Balki,"Dec 4, 2009",4300000,199228,9791282,2009,12,4
Elysium,109,"Action,Drama,Sci-Fi",6.6,469128,Neill Blomkamp,Neill Blomkamp,"Aug 9, 2013",120000000,93050117,286192091,2013,8,9
Hope Springs,100,"Comedy,Drama,Romance",6.3,44139,David Frankel,Vanessa Taylor,"Aug 8, 2012",30000000,63536011,133085295,2012,8,8
The Son of No One,90,"Action,Crime,Drama",5.1,17863,Dito Montiel,Dito Montiel,"Nov 4, 2011",15000000,30680,1148578,2011,11,4
Blair Witch,89,"Horror,Mystery,Thriller",5.0,49267,Adam Wingard,Simon Barrett,"Sep 15, 2016",10000000,20777061,38985577,2016,9,15
Playing for Keeps,105,"Comedy,Romance,Sport",5.7,31219,Gabriele Muccino,Robbie Fox,"Dec 7, 2012",35000000,13103272,27805632,2012,12,7
The Guard,96,"Comedy,Crime,Thriller",7.3,95115,John Michael McDonagh,John Michael McDonagh,"Jul 29, 2011",6000000,5359774,21197454,2011,7,29
Hanu Man,158,"Action,Adventure,Fantasy",8.4,17779,Prasanth Varma,Prasanth Varma,"Jan 11, 2024",2500000,2300000,9038053,2024,1,11
Vamps,92,"Comedy,Horror,Romance",5.3,11043,Amy Heckerling,Amy Heckerling,"Nov 2, 2012",16000000,3361,94812,2012,11,2
Smile,115,"Horror,Mystery,Thriller",6.5,154361,Parker Finn,Parker Finn,"Sep 28, 2022",17000000,105935048,217068735,2022,9,28
Smile,\N,Horror,4.2,137,Oktober Layne,Oktober Layne,"Sep 28, 2022",17000000,105935048,217068735,2022,9,28
Smile,115,Drama,6.6,58,Ketan Pendse,Ketan Pendse,"Sep 28, 2022",17000000,105935048,217068735,2022,9,28
The Last Stand,107,"Action,Thriller,Western",6.3,144879,Jee-woon Kim,Andrew Knauer,"Jan 17, 2013",30000000,12050299,48330757,2013,1,17
Country Strong,117,"Drama,Music",6.3,18906,Shana Feste,Shana Feste,"Dec 22, 2010",15000000,20218921,20601987,2010,12,22
The Master,138,"Drama,History",7.1,185272,Paul Thomas Anderson,Paul Thomas Anderson,"Sep 14, 2012",37500000,16247159,29044338,2012,9,14
One Day,107,"Drama,Romance",7.0,164900,Lone Scherfig,David Nicholls,"Jun 23, 2011",15000000,13843771,59168692,2011,6,23
For Greater Glory: The True Story of Cristiada,145,"Drama,History,War",6.5,5300,Dean Wright,Michael Love,"Apr 20, 2012",12000000,5669081,10026255,2012,4,20
Man on a Ledge,102,"Action,Crime,Thriller",6.6,158176,Asger Leth,Pablo F. Fenjves,"Jan 27, 2012",42000000,18620000,49621440,2012,1,27
Tiny Furniture,98,"Comedy,Drama,Romance",6.2,14820,Lena Dunham,Lena Dunham,"Nov 12, 2010",50000,391674,424149,2010,11,12
The Dilemma,111,"Comedy,Drama",5.3,56733,Ron Howard,Allan Loeb,"Jan 14, 2011",70000000,48475290,70546865,2011,1,14
Barbarian,102,"Horror,Mystery,Thriller",7.0,176397,Zach Cregger,Zach Cregger,"Sep 8, 2022",4500000,40842944,45352337,2022,9,8
Contagion,106,"Drama,Thriller",6.8,314718,Steven Soderbergh,Scott Z. Burns,"Sep 9, 2011",60000000,75658097,137203939,2011,9,9
Safe House,115,"Action,Thriller",6.7,234461,Daniel Espinosa,David Guggenheim,"Feb 8, 2012",85000000,126181630,207884401,2012,2,8
Abduction,106,"Action,Mystery,Thriller",5.1,83146,John Singleton,Shawn Christensen,"Sep 23, 2011",35000000,28087155,86648359,2011,9,23
Abduction,84,"Horror,Thriller",5.9,15,Michael Atwill,Shane Rodgers,"Sep 23, 2011",35000000,28087155,86648359,2011,9,23
The Drop,106,"Crime,Drama,Thriller",7.0,161362,Michaël R. Roskam,Dennis Lehane,"Sep 12, 2014",12600000,10724389,19054534,2014,9,12
Only God Forgives,90,"Action,Crime,Drama",5.7,117646,Nicolas Winding Refn,Nicolas Winding Refn,"Jul 19, 2013",4800000,775849,4494560,2013,7,19
Amour,127,Drama,7.9,105222,Michael Haneke,Michael Haneke,"Sep 20, 2012",9700000,6738954,36787044,2012,9,20
Prom,104,"Comedy,Drama,Family",5.4,15674,Joe Nussbaum,Katie Wech,"Apr 29, 2011",8000000,10130219,10763183,2011,4,29
Midnight in Paris,94,"Comedy,Fantasy,Romance",7.6,447920,Woody Allen,Woody Allen,"May 20, 2011",30000000,56816662,162275213,2011,5,20
Abraham Lincoln: Vampire Hunter,105,"Action,Fantasy,Horror",5.9,161154,Timur Bekmambetov,Seth Grahame-Smith,"Jun 20, 2012",67500000,37519139,137489730,2012,6,20
